,summary
0,Ambitious  driven  intelligent  steely  efficient  resourceful  critical  savvy  unrelenting Thinker  doer         realist  idealist  willing  able  can do  will do   
1,Proactive  self motivated  and results driven data scientist who thrives in intellectually challenging positions xcels at establishing positive working relationships with stakeholders and leading technical teams from business concept through deployment of analytical solution ecognized for thought leadership and superior problem solving skills on projects that require creative  interdisciplinary solutions    
2,  have been learning and working in analytics since 2012 here are many reasons why   love this field he main reason is that   like to work on problems that are interesting and not trivial  do not have a specific list of languages and software that must fit with me  just enjoy the opportunity of working on complex data problems and trying to find a solution for them re is a list of data science topics and software that   know Core Concepts  Data Visualization    Dashboard DevelopmentMachine Learning  Linear Regression  Logistic Regression  Clustering  Classification  Pattern Recognition Text MiningDeep Learning  Artificial Neural Networks & Convolutional Neural Networks ETL  Extract  Transform  and Load   Data WarehousingHere is a list of statistical software that   know  R SASMicrosoft ExcelHere is a list of Big Data technologies that   know  VerticaHadoop  MapR    know these programming languages  JavaPythonSQL  know these data visualization tools  TableauGephi  worked with this ETL and Data Warehousing software   nformatica PowerCenterToad for Oracle   
3,Data Science  as evident  involves scientific thinking around data and communicating it to non technical audience  is an art  and   work at the intersection of this art and science  started my journey  back in 2013  with Andrew Ng’s lectures  working on fancy hand writing recognition algorithms using Neural Nets  which led me to my internship at Zomato   where   experimented with Natural Language Processing for the first time and since then   have come a long way  worked on an online NLP based debating framework to help school students  presented at various platforms on topics pertaining to NLP  love to read about ML  particularly  deep learning and one of my goals this year is to finish 14 Analytics MOOC’s   have delivered a talk on NLP at PyCon Bangalore and a poster a PyCon USA part from my work    play Basketball  taking advantage of the fact that   am a tall guy  listen to music all the time  as it helps me to think amid a loud environment lso    have recently started reading a lot of non fiction books f you still want to know more about me  feel free to drop me a message  
4,Data scientist with academic background in genetics and bioinformatics  recent professional        experience in marketing science   
5,  am an engineer focused on solving real world problems utilizing statistical analysis  machine learning  software engineering best practices  and working with data at scale  enjoy working on complex problems and figuring out how to prototype valuable solutions  want to help people think the way the world needs you to think in order to solve the complex engineering problems we have in front of us f you d like to talk  feel free to reach out to me  
6,Data scientist with a strong math background and experience in big data  machine learning  and statistics Passionate about explaining data science to non technical business audiences e best way to describe myself would be that  ’m a passionate  dedicated worker who believes highly in teamwork  which   showed during my role as Business Analyst by working collaboratively with different teams  played an instrumental role in getting the new admissions increased by 18%  love being critically involved in multiple projects and   think   thrive in this type of environment  it keeps my mind sharp  active and engaged  have an insatiable intellectual curiosity and ability to mine hidden gems located within large sets of data ills   Analytical Tools  Python scikit learn  pandas  xgboost   R dplyr  ggplot2   SQL  Tableau  Excel  Hadoop  Map Reduce  Hive   Apache Spark  SAS  MongoDB  Neo4j  Machine Learning  NLP  Decision Trees  Neural Networks  SVM  Random Forest  Clustering  Bagging  Boosting  Ensemble  Statistical Methods  Time Series  Hypothesis Testing  PCA  Factor Analysis  ANOVA  EDA  Factor & Cluster Analysis  Correlation & Regression Analysis   
7,  am a Data Strategist who has experience identifying business opportunities and risks with data and have built scalable predictive models to help direct the business for its future y strength lies in identifying business needs  quickly iterating and building models like early lifetime value  lookalike models  demand forecasting with high accuracy and very little support from engineering r my next role    am looking for a similar position where data and the insights drawn from it drives the business forward  
9,  am a very energetic goal driven person  passionate to learn and become better every day  strive to produce results in any task   confront  have a strong interest in Data Science  Deep Machine Learning  Quantum Computing  Startups  Software Engineering  and Product Management ter   stopped played D1 basketball at Dartmouth College after my freshman year due to injury    began to focus more of my time and attention on growing my technical  mathematical  and financial skills  ve eagerly worked on software and business development for numerous startups  including one of my own called  BookUp   did this while also leading programming at the Dartmouth Entrepreneurial Network and taking many intriguing Computer Science  Statistical Analysis  and Economic classes at my university rrently    am a Data Scientist at Dataiku  working with clients around the world to organize their data infrastructures and create deploy data driven products into production with our revolutionary Data Science Platform Artificial intelligence is the singular thing that will be larger than all of human tech revolutions added together  including electricity  the industrial revolution  internet  and mobile internet               Kai Fu Lee  Co Founder of Sinovation Ventures  Former President of Google China  
11,Finished a four year in data science and am looking for a career  willing to relocate ikes to code  understands algorithms  math and statistically inclined  researcher oriented  have ten years of        hardware  software  networking understanding and experience   
12,  Dynamic & result oriented Data Analytics professional with a track record of success in high growth  quick turnaround & multi national environments  3 years of cross industry experience in Data analytics and outsourcing service sector  Project leadership roles in projects involving Predictive analytics  Marketing analytics & customer targeting  Achieved success in initiating business in new geographies   
13,  have over 5 years of experience in building software products and machine learning models rrently    work as a Data Scientist and lead a team of analysts to solve business problems using Big Data and Machine Learning mpetencies  Data Modeling and Mining  Statistical Analysis   Text Analytics  Agile Project Management  Business Analysis  Team and Stakeholder Management ols  R  Python  SQL  MySQL  Excel  D3    and Tableau  
14,4 years of industry experience working with data pipelines  storytelling and statistical analysis assionate for all things quantitative with a focus on data integrity  simplicity and statistically robust measurements and predictions rrently enrolled in the Masters of Science in Data Science program part time at New York University s Center for Data Science  
16,Data Scientist passionate about working in multidisciplinary teams to solve cutting edge problems and        drive innovation Skilled at communicating technical results to diverse audiences   
17,Anirban Majumder is a Data Analytics professional with over 10 years of industry experience in  business data analysis e has increased revenue for his company with key clients through technology accelerators e is always collaborative in nature and passionate about converting data into actionable insights and business recommendations e is also very focused  committed  result oriented  quick learner and an excellent team player e has saved $2M through successful automation and improvements in operating efficiency powered by state of the art technologies and managed teams of varying size  15 20  and diversity with a maximum budget of $10M e loves to use his humor to break the tension and energize his team members e has received six  Yes  awards for improving the  software and operating efficiency    can do  or positive attitude   hard work  extra efforts and dedication  and for streamlining various business processes thereby improving response times to customers and successful implementations and deployments ecialties   R  dplyr tidyr caret xgboost h2o   Python  numpy pandas scipy scikit learn matplotlib beautifulsoup  SAS JMP  SAS Base SAS Enterprise Miner SAS Time Series Forecasting System SAS Enterprise Guide  Machine Learning  Statistics  NLP  Big Data  Apache Spark Apache Pig  Hive  Scala  Data Visualization  Tableau ggvis ggplot2  Predictive Modeling Time Series Forecasting  AR MA  Recommender Systems Market Basket Analysis Text Mining Data Mining Business  ntelligence Data warehousing ETL     Database  Oracle  SQL PLSQL AKA Common Misspellings  Anirban Majumder  Majumder Anirban  A ajumder  anirbanmj  Anirban  Anrban   Contact  nfo  anirbanmj16 gmail m    1 860  994 2363   
18,The pursuit to uncover the stories hidden in the data led me to the field of Data Science urrently   am working at Facebook to solve Data Science problems at scale  As a part of the Advanced Analytics & Modeling practice at Deloitte    worked on projects for clients across different sectors like  nsurance  Banking  Retail  Higher Education  etc hese projects typically used data and advanced analytics technologies to help clients make informed business decisions he work helped organizations to better understand their customers and risks  spot anomalies  and tackle real world problems  a Data Science  ntern at Linked n  my work largely involved doing exploratory data analysis that helped understand how the consumers are using the Linked n News Feed y background in Business  ntelligence and Data Analytics at CMU has helped me hone my descriptive and predictive analytics skills ith courses like Experimental Design  Statistics  Machine Learning  Data Mining and Advanced Business Analytics    have built an expertise in analyzing and visualizing large datasets y strong technical acumen was complemented by a course on Managing Analytics Projects  which helped me gain deeper insights into the specific issues any analytics project faces  and their solutions he core strength of a Data Scientist is programming – something that my work experience at ThoughtWorks Technologies as a Senior Application Developer helped me excel at  typical day for me involved interacting with clients and business analysts  analyzing and breaking down problems into user stories  estimation of stories  brainstorming and programming orking on multiple projects allowed me to dabble with multiple technologies which in turn helped me build a critical skill – picking up new technologies quickly ou can also find me on Github   s   github m ankitdhingra Stackoverflow      stackoverflow m users 428598 ankit dhingraTwitter   s   twitter m ankit dhingra   
